"species","model","origin","lead","target","true_y","pred_y","sd_pred","logs","logs_lim","crps"
"WHIB","nb",2003,3,2006,25322,70707.68892,33922.8837575023,12.2992533848172,12.298975133842,27720.8190489964
"WHIB","nb",2003,4,2007,20761,78018.90658,41027.4861804378,13.015072212076,13.0145865381833,36011.4573476362
"WHIB","nb",2003,5,2008,7782,47257.70943,28083.0053760104,13.3776995544809,13.3766463579898,25177.3201665269
"WOST","nb",2003,1,2004,834,624.85273,187.587492686003,7.06100465635263,7.06075872547896,142.6451396483
"WOST","nb",2003,2,2005,273,4701.5138,1645.08477855363,30.3582529403257,17.520592547444,3535.8315461998
"WOST","nb",2003,3,2006,1314,1111.38445,351.080884079537,7.16671427839913,7.16656712898415,147.8066006003
"WOST","nb",2003,4,2007,355,3009.20443,1079.64044981345,20.4818057649337,17.05841963539,2069.9715715227
"WOST","nb",2003,5,2008,145,2070.35075,930.272560906111,17.1104468982173,16.308916485224,1432.1826228183
"GREG","p",2004,1,2005,4256,11733.78615,52.4806330025268,Inf,14.1433734413914,7448.1867909119
"GREG","p",2004,2,2006,10126,11748.98517,47.6887157743551,Inf,14.0537612827017,1596.0735903217
"GREG","p",2004,3,2007,5233,13166.26499,59.0869268362227,Inf,14.2769048340159,7899.9137365143
"GREG","p",2004,4,2008,2308,15546.50808,82.7174254703226,Inf,14.6222660180544,13191.819365686
"GREG","p",2004,5,2009,13211,17025.02359,96.5346308992868,Inf,14.7651930742637,3759.5313062991
"WHIB","p",2004,1,2005,17143,19948.42612,120.785714195153,Inf,14.9824745345744,2737.314096893
"WHIB","p",2004,2,2006,25322,40454.28823,188.32170704441,Inf,15.4322124663605,15026.0151723761
"WHIB","p",2004,3,2007,20761,45313.94875,240.991111517823,Inf,15.6725305225647,24417.0157579149
"WHIB","p",2004,4,2008,7782,38533.20922,267.459818242919,Inf,15.7809822307922,30600.3233911484
"WHIB","p",2004,5,2009,43415,48727.96092,357.4575066654,Inf,16.0676646882076,5111.252905613
"WOST","p",2004,1,2005,273,3256.94967,75.9081377544257,Inf,14.5247304448196,2941.1141909119
"WOST","p",2004,2,2006,1314,1510.5576,25.1637154324584,661.079115731644,13.4132198672312,182.3623256658
"WOST","p",2004,3,2007,355,2906.75868,53.2294309417336,Inf,14.1575580763833,2521.7262468396
"WOST","p",2004,4,2008,145,1961.57321,49.2197765756811,Inf,14.0906054197896,1788.8033289721
"WOST","p",2004,5,2009,4063,6248.19183,154.687637753971,Inf,15.2299492857083,2098.0036732055
"GREG","nb",2004,1,2005,4256,10850.78344,1045.48550130602,306.851774615195,17.1376761221358,6006.7435366912
"GREG","nb",2004,2,2006,10126,11748.58747,1015.23946277746,9.08177742864639,9.08145188004941,1083.5511894817
"GREG","nb",2004,3,2007,5233,13014.71821,1230.23844283564,357.769587188271,17.3027082010642,7089.7028937549
"GREG","nb",2004,4,2008,2308,14580.67186,1632.80601780464,754.007087237296,17.585876527769,11355.07475166
"GREG","nb",2004,5,2009,13211,16070.19949,1884.27776374946,9.57723642242424,9.57694670982523,1868.7697435991
"WHIB","nb",2004,1,2005,17143,15629.21036,6948.39976638951,9.9275199113083,9.92739591752,1959.4313498824
"WHIB","nb",2004,2,2006,25322,56043.67826,22256.902960891,11.8472161680751,11.846956683578,18977.5840889226
"WHIB","nb",2004,3,2007,20761,61351.61946,26880.9179723848,12.7365160200062,12.7359803842344,26347.3190542836
"WHIB","nb",2004,4,2008,7782,38779.02966,20214.8826699161,13.3417145523194,13.3403614170616,20480.6486261136
"WHIB","nb",2004,5,2009,43415,54150.33972,29971.8578327188,10.944796469151,10.9447112340482,6184.7823830734
"WOST","nb",2004,1,2005,273,4706.9451,1526.420928589,35.6715944465974,17.4591166621979,3601.0439163924
"WOST","nb",2004,2,2006,1314,1282.60439,288.784950387314,6.62554780835182,6.62554237868037,71.1026183281
"WOST","nb",2004,3,2007,355,3454.82233,939.812780155701,46.2031844441262,16.9882828252106,2582.0922989243
"WOST","nb",2004,4,2008,145,2346.70927,849.658424286164,22.8451842929501,16.849882039833,1741.6279278783
"WOST","nb",2004,5,2009,4063,8010.66583,2522.10486751642,10.1297348797155,10.1293377451745,2587.5295429857
"GREG","p",2005,1,2006,10126,9572.68903,37.6012487318993,Inf,13.8156436142229,532.0963075631
"GREG","p",2005,2,2007,5233,10298.82977,43.7601460378152,Inf,13.9724156432477,5041.1528994025
"GREG","p",2005,3,2008,2308,10867.51498,51.1271113541021,Inf,14.1289847039393,8530.669412994
"GREG","p",2005,4,2009,13211,11792.60856,59.4619028614567,Inf,14.2757193709151,1384.8476821292
"GREG","p",2005,5,2010,4627,12261.36441,82.3061185959069,Inf,14.6044084006543,7587.9513438483
"WHIB","p",2005,1,2006,25322,38923.74942,152.124242668668,Inf,15.2178881784804,13515.9627187478
"WHIB","p",2005,2,2007,20761,43231.26279,189.345242262972,Inf,15.4400556438216,22363.3612329341
"WHIB","p",2005,3,2008,7782,35847.01956,187.463896962943,Inf,15.4282676880695,27959.2330493168
"WHIB","p",2005,4,2009,43415,45283.85473,252.968706282597,319.548672652286,15.7210842716102,1726.0528150409
"WHIB","p",2005,5,2010,9047,30083.02808,230.249602649622,Inf,15.6314504968212,20906.139382911
"WOST","p",2005,1,2006,1314,1242.33237,22.568293100313,8.8179853443711,8.80669425138222,58.9549034689
"WOST","p",2005,2,2007,355,1733.24011,32.6455380488581,Inf,13.6790678332603,1359.8224169425
"WOST","p",2005,3,2008,145,830.5079,20.7854352355966,Inf,13.2270827095172,673.7858655324
"WOST","p",2005,4,2009,4063,2289.39697,47.8866385970101,Inf,14.0537612827017,1746.5918852647
"WOST","p",2005,5,2010,1000,947.22742,25.1637996397945,6.33629352506269,6.33544763802272,38.9597418198
"GREG","nb",2005,1,2006,10126,10170.62006,1014.57936249385,7.84268998906154,7.84259314667673,236.0683481126
"GREG","nb",2005,2,2007,5233,10992.87079,1179.42458388753,61.8791124232603,17.2604369076616,5097.0312031403
"GREG","nb",2005,3,2008,2308,11505.53543,1370.88551271636,426.053614793777,17.4080417445761,8427.3177863963
"GREG","nb",2005,4,2009,13211,12612.80491,1597.51668000222,8.44086728703877,8.44076298091986,488.7727327389
"GREG","nb",2005,5,2010,4627,12949.15614,2170.50233044887,36.2489835608182,17.8562483907781,7108.6921090954
"WHIB","nb",2005,1,2006,25322,57058.42059,19297.6658121425,12.5494476339836,12.5488593407494,21276.8743247119
"WHIB","nb",2005,2,2007,20761,62209.72146,22745.9704212333,13.9591782737009,13.9570918231412,29184.169204436
"WHIB","nb",2005,3,2008,7782,39136.47263,15954.0723539201,15.7119247129706,15.6946578800508,22823.4274344999
"WHIB","nb",2005,4,2009,43415,54777.5776,23797.1830823609,10.7948108002078,10.7947241642223,5922.8907938676
"WHIB","nb",2005,5,2010,9047,23638.05583,14125.9632822558,10.534405833619,10.5342826012119,7683.3300914589
"WOST","nb",2005,1,2006,1314,1141.44523,366.047473871598,7.11869216165113,7.11855766622154,135.2967669855
"WOST","nb",2005,2,2007,355,2525.55365,928.602549710386,16.9585181950701,16.2559597013929,1668.6522068841
"WOST","nb",2005,3,2008,145,1321.75863,595.815619410104,14.5073873505678,14.3755783892511,861.1358975583
"WOST","nb",2005,4,2009,4063,4349.36413,1568.96956318924,8.19170255741542,8.19160917495188,340.4719256781
"WOST","nb",2005,5,2010,1000,1265.6794,615.073598271746,7.09612965418739,7.09604497597671,140.821635579
"GREG","p",2006,1,2007,5233,10501.06291,36.2965123214334,Inf,13.7866984974526,5247.5881910399
"GREG","p",2006,2,2008,2308,11067.4963,44.7142485115226,Inf,14.0057520635153,8734.2812910428
"GREG","p",2006,3,2009,13211,12038.61047,51.5378943877676,Inf,14.1289847039393,1143.3022098477
"GREG","p",2006,4,2010,4627,12479.71214,77.8353987599049,Inf,14.5488385494995,7808.7895063052
"GREG","p",2006,5,2011,6971,14654.68668,75.8265982838982,Inf,14.5198510126263,7640.903093879
"WHIB","p",2006,1,2007,20761,36350.30119,121.607984769108,Inf,14.9947446271662,15520.6689483049
"WHIB","p",2006,2,2008,7782,29917.87671,128.518474779152,Inf,15.0481697938398,22063.3712226487
"WHIB","p",2006,3,2009,43415,36974.90019,166.787723557255,Inf,15.3109786015464,6346.0119999271
"WHIB","p",2006,4,2010,9047,24565.54453,168.087252254068,Inf,15.3109786015464,15423.7321942369
"WHIB","p",2006,5,2011,13599,81564.49857,426.052338479566,Inf,16.2509858600379,67725.0913155951
"WOST","p",2006,1,2007,355,1768.75307,27.6677106135872,Inf,13.5057961119862,1398.1530713963
"WOST","p",2006,2,2008,145,850.1144,18.4443550871898,Inf,13.07293202969,694.7108473532
"WOST","p",2006,3,2009,4063,2330.18624,43.2586739023641,Inf,13.9553212098884,1708.4163473442
"WOST","p",2006,4,2010,1000,975.96362,21.0052819241801,4.65369497245133,4.65350591928236,14.9540429916
"WOST","p",2006,5,2011,1727,2520.35116,63.2605784486852,Inf,14.3355959407306,757.6750126212
"GREG","nb",2006,1,2007,5233,10969.58589,974.445740771607,277.422123068808,17.0695792547172,5187.6138288685
"GREG","nb",2006,2,2008,2308,11483.35784,1175.87054219665,Inf,17.2576139936545,8514.0935273894
"GREG","nb",2006,3,2009,13211,12592.39128,1354.61843067001,8.31145567774622,8.31134336452894,450.692874335
"GREG","nb",2006,4,2010,4627,12934.13918,1981.61640719509,60.0594804656797,17.7646621018722,7198.4310853144
"GREG","nb",2006,5,2011,6971,15791.29308,2023.26594509841,42.9266703783327,17.794402671362,7685.8926807716
"WHIB","nb",2006,1,2007,20761,51192.04229,15947.2086216507,13.4389787957022,13.4372741553793,21713.3892291731
"WHIB","nb",2006,2,2008,7782,33363.50828,12088.5668521863,16.1233537655858,16.0901070503623,19043.6156324416
"WHIB","nb",2006,3,2009,43415,45397.61975,17426.2347973592,10.6128903684665,10.6127944605063,3761.4864523693
"WHIB","nb",2006,4,2010,9047,21023.66197,11689.5925123469,10.3112220854565,10.311112595839,6260.6060294185
"WHIB","nb",2006,5,2011,13599,167928.2638,77544.4807283928,19.900998839708,19.6849749217925,113327.757946568
"WOST","nb",2006,1,2007,355,2635.43006,779.615981069639,25.9830556044299,16.7924811410139,1852.9234935176
"WOST","nb",2006,2,2008,145,1371.88021,520.854145467581,18.67540486135,16.2625226135485,946.4616270545
"WOST","nb",2006,3,2009,4063,4496.54206,1380.96324463969,8.0578958796619,8.05780527417737,323.5593927094
"WOST","nb",2006,4,2010,1000,1313.60191,524.193541206908,7.02267148435261,7.02258281438711,154.8545641769
"WOST","nb",2006,5,2011,1727,4838.61342,2209.2091107826,9.79528016822614,9.7949364364968,1947.838774843
"GREG","p",2007,1,2008,2308,9490.99868,37.145897706675,Inf,13.8069012047702,7162.0445786286
"GREG","p",2007,2,2009,13211,10145.53763,41.3350902972281,Inf,13.9022113845745,3042.1427708017
"GREG","p",2007,3,2010,4627,10572.55582,67.15120756155,Inf,14.4057377058589,5907.6638045846
"GREG","p",2007,4,2011,6971,11770.81353,57.1409197492147,Inf,14.2386836211957,4767.5603964375
"GREG","p",2007,5,2012,7290,12101.24819,74.8255578018962,Inf,14.5099987161833,4769.0545126847
"WHIB","p",2007,1,2008,7782,24943.17325,92.7884044011826,Inf,14.7311601062935,17108.8418879913
"WHIB","p",2007,2,2009,43415,30264.28735,115.849408936054,Inf,14.9447342065915,13085.3363091443
"WHIB","p",2007,3,2010,9047,19679.83522,124.148063758437,Inf,15.0128720117588,10562.7965166386
"WHIB","p",2007,4,2011,13599,64454.68,278.941200223151,Inf,15.82712338679,50698.2572203752
"WHIB","p",2007,5,2012,13022,30154.04769,183.534899041723,Inf,15.40426653597,17028.5485573369
"WOST","p",2007,1,2008,145,536.7723,11.3881407441029,Inf,12.6029284004442,385.3525052382
"WOST","p",2007,2,2009,4063,1657.3002,31.0388619970118,Inf,13.6325478176254,2388.2007813466
"WOST","p",2007,3,2010,1000,636.14489,13.7298107038997,Inf,12.7852499572382,356.1079185025
"WOST","p",2007,4,2011,1727,1369.10316,31.1426925086346,Inf,13.6267863599568,340.3255751728
"WOST","p",2007,5,2012,820,1213.35481,29.7309195811312,Inf,13.580603452189,376.5824605065
"GREG","nb",2007,1,2008,2308,10090.659,1057.0004924594,555.955399673785,17.1510083785197,7188.4335225668
"GREG","nb",2007,2,2009,13211,10912.34589,1197.64295838813,9.79503558844651,9.79446800811984,1669.3215559789
"GREG","nb",2007,3,2010,4627,11299.8999,1858.63579251291,25.2847821729358,17.7039092780909,5633.2589904614
"GREG","nb",2007,4,2011,6971,13133.90857,1692.7943664953,20.1843055709002,17.5439872527433,5212.9131010499
"GREG","nb",2007,5,2012,7290,13214.38133,2126.23179835455,14.4144290632203,14.3825078402879,4734.4491540515
"WHIB","nb",2007,1,2008,7782,28813.19156,9427.27977229931,15.9426125920795,15.9077689557307,15886.0881883616
"WHIB","nb",2007,2,2009,43415,38246.21454,13094.6401426735,10.6406706779376,10.6405414729694,4440.2833557296
"WHIB","nb",2007,3,2010,9047,18529.45357,9806.25888643053,10.0535221593088,10.0534174167947,4802.7242812777
"WHIB","nb",2007,4,2011,13599,128727.79043,52481.7518596309,20.7997987356628,20.1830250773271,86988.3065700937
"WHIB","nb",2007,5,2012,13022,34756.34057,18054.1256246068,11.2267599477333,11.2265762180507,12499.2207966805
"WOST","nb",2007,1,2008,145,949.71728,373.054394673505,14.5461244983346,14.3398125537183,604.0507341194
"WOST","nb",2007,2,2009,4063,3251.50032,1039.65201493722,8.4453020626598,8.44512266763973,558.242319068
"WOST","nb",2007,3,2010,1000,936.71341,395.9838241495,6.98479385364419,6.98467966491184,103.6096207929
"WOST","nb",2007,4,2011,1727,2833.94181,1266.46401422816,7.98422237350779,7.98412456507547,548.4565639269
"WOST","nb",2007,5,2012,820,2681.93447,1191.97605662405,9.96720016280819,9.96644340618406,1230.6567192101
"GREG","p",2008,1,2009,13211,7878.9843,32.245586229565,Inf,13.6790678332603,5313.81088395
"GREG","p",2008,2,2010,4627,7328.93289,47.5820429022963,Inf,14.0537612827017,2675.0813862097
"GREG","p",2008,3,2011,6971,9579.17155,49.8166281231666,Inf,14.1094175955508,2580.0513923991
"GREG","p",2008,4,2012,7290,8314.75609,51.3466003027029,Inf,14.1281303368574,995.8045151191
"GREG","p",2008,5,2013,8208,8295.19654,62.005715213322,6.01060320336205,6.01035573006611,56.6074162362
"WHIB","p",2008,1,2009,43415,23506.76931,79.0948733617661,Inf,14.5677070338039,19863.6026087885
"WHIB","p",2008,2,2010,9047,13237.01733,74.6555169035292,Inf,14.515934904278,4147.8718570147
"WHIB","p",2008,3,2011,13599,54038.88445,224.609176328614,Inf,15.6119059007482,40313.1204055991
"WHIB","p",2008,4,2012,13022,20325.61415,107.142050866913,Inf,14.8716119417626,7243.1794705257
"WHIB","p",2008,5,2013,22226,17201.48808,110.578288526693,Inf,14.8988245052875,4962.1511968942
"WOST","p",2008,1,2009,4063,1490.7553,29.7113336884007,Inf,13.6084502660463,2555.4793345332
"WOST","p",2008,2,2010,1000,525.76736,11.1938273904914,Inf,12.6029284004442,467.915634959
"WOST","p",2008,3,2011,1727,1142.6001,26.2039406665308,Inf,13.4502262608314,569.6128957374
"WOST","p",2008,4,2012,820,1013.98796,25.5683936231028,560.928709766738,13.4212387239582,179.5778442952
"WOST","p",2008,5,2013,2511,843.70611,23.681485316495,Inf,13.3606141021417,1653.9296170249
"GREG","nb",2008,1,2009,13211,8711.55042,1143.12409969561,13.6898345369646,13.6609937399856,3858.7742339472
"GREG","nb",2008,2,2010,4627,8370.06735,1681.54165846032,11.803257008932,11.8002139999515,2808.0539685121
"GREG","nb",2008,3,2011,6971,10753.31789,1775.16584518003,11.1945871297378,11.1930247410128,2792.7959146767
"GREG","nb",2008,4,2012,7290,9643.36042,1887.42946000032,9.06954081515393,9.06936505081852,1409.2608097622
