"species","model","origin","lead","target","true_y","pred_y","sd_pred","logs","logs_lim","crps"
"GREG","p",2000,1,2001,5154,6943.65057,51.7044566955647,Inf,14.1289847039393,1760.4815602799
"GREG","p",2000,2,2002,11067,7150.00576,43.751959375117,Inf,13.9724156432477,3892.3094788558
"GREG","p",2000,3,2003,9025,7463.51691,72.7030861204613,Inf,14.4695891778454,1520.4612984211
"GREG","p",2000,4,2004,9040,8747.06996,68.0491430692343,14.556096203248,13.7860159248282,254.535631765
"GREG","p",2000,5,2005,4256,8965.73039,93.2278516043947,Inf,14.7231919366443,4657.1590101799
"WHIB","p",2000,1,2001,17262,52703.47498,413.419690354007,Inf,16.2192371617233,35208.2100468386
"WHIB","p",2000,2,2002,32530,7767.50033,54.1124281606353,Inf,14.1853376404904,24731.9678544187
"WHIB","p",2000,3,2003,12533,1859.23194,23.3720826281884,Inf,13.3606141021417,10660.5763537224
"WHIB","p",2000,4,2004,30459,27435.87699,217.896853738021,Inf,15.5725311443443,2900.1987841441
"WHIB","p",2000,5,2005,17143,3422.22943,41.9686919689684,Inf,13.9202298900772,13697.0898356143
"WOST","p",2000,1,2001,1861,2395.58641,100.626889105348,96.0835157141282,14.799104003062,477.8759906925
"WOST","p",2000,2,2002,1461,298.75536,12.8871871277762,Inf,12.7280915433982,1154.9830479702
"WOST","p",2000,3,2003,1550,438.84025,24.2618638261339,Inf,13.3868286590847,1097.4896764799
"WOST","p",2000,4,2004,834,411.48606,18.7664937452172,Inf,13.1221481090989,411.9303112426
"WOST","p",2000,5,2005,273,668.92152,53.4910320875821,655.062508078796,14.1673355034241,365.7971161926
"GREG","nb",2000,1,2001,5154,8000.60912,1083.86772438581,12.4224262972293,12.4137854530413,2238.9602599132
"GREG","nb",2000,2,2002,11067,7398.85246,801.231859524367,15.0087640387733,14.8642872024391,3218.0586959752
"GREG","nb",2000,3,2003,9025,7195.38055,1124.65842048923,9.31668601177625,9.31631866696192,1280.5258337723
"GREG","nb",2000,4,2004,9040,9728.26133,1379.62894151898,8.17072795403986,8.17067788985439,421.8285492819
"GREG","nb",2000,5,2005,4256,8943.12802,1528.38432373448,16.340403954993,16.0689879589024,3833.6228897132
"WHIB","nb",2000,1,2001,17262,78738.79569,41476.9226378595,13.650602954201,13.649703999216,39879.4858264907
"WHIB","nb",2000,2,2002,32530,12152.54731,4985.74096375968,13.9304661038926,13.92120889696,17733.5174217045
"WHIB","nb",2000,3,2003,12533,3453.35809,2147.92406026359,13.0673242493327,13.0571378729545,8026.7530517435
"WHIB","nb",2000,4,2004,30459,50476.56961,28172.8453798569,10.8350149846598,10.8349339224647,9018.0549951191
"WHIB","nb",2000,5,2005,17143,7337.01356,5033.53619227697,11.5486029415136,11.5476045573749,7845.8848997316
"WOST","nb",2000,1,2001,1861,2176.659,757.295341410035,7.4155819211335,7.41549296633777,186.823223031
"WOST","nb",2000,2,2002,1461,244.56025,92.9456511025561,Inf,14.6398103277053,1166.2073667237
"WOST","nb",2000,3,2003,1550,392.42994,189.370869525539,12.4602314321306,12.4030505764927,1058.4443944028
"WOST","nb",2000,4,2004,834,262.60415,109.906265456749,11.3874695488461,11.3545685862262,512.7930320313
"WOST","nb",2000,5,2005,273,677.90693,473.019905359472,6.73936318041913,6.73927513378488,189.6847979651
"GREG","p",2001,1,2002,11067,6730.61413,39.7794796146592,Inf,13.8651701128941,4313.9334515857
"GREG","p",2001,2,2003,9025,7547.69725,75.233908404703,Inf,14.5099987161833,1434.8584065131
"GREG","p",2001,3,2004,9040,7667.60081,49.3341980372121,Inf,14.0900087046524,1344.5633715307
"GREG","p",2001,4,2005,4256,8733.34756,92.9275933048003,Inf,14.7308416407529,4424.9311538062
"GREG","p",2001,5,2006,10126,9056.13632,77.2069525754829,Inf,14.5349933993847,1026.3213811848
"WHIB","p",2001,1,2002,32530,6282.26514,45.4559567407885,Inf,14.0057520635153,26222.0901422002
"WHIB","p",2001,2,2003,12533,2264.28551,28.6579993518244,Inf,13.5324643590684,10252.5477042019
"WHIB","p",2001,3,2004,30459,14652.51851,96.980821867924,Inf,14.7700755225432,15751.7790564265
"WHIB","p",2001,4,2005,17143,3345.3055,42.9239487279973,Inf,13.9553212098884,13773.4931185094
"WHIB","p",2001,5,2006,25322,11886.67542,109.171775897391,Inf,14.8920904731061,13373.6573532484
"WOST","p",2001,1,2002,1461,260.49764,9.10984436327225,Inf,12.4598275568035,1195.3686322228
"WOST","p",2001,2,2003,1550,357.55813,14.595218090423,Inf,12.8393171785085,1184.2085380025
"WOST","p",2001,3,2004,834,352.17597,12.0998201893907,Inf,12.6674669215818,475.0010161627
"WOST","p",2001,4,2005,273,488.36194,27.2876881691296,Inf,13.4942790794248,199.9769445842
"WOST","p",2001,5,2006,1314,423.72731,16.2778573482599,Inf,12.9920874678729,881.0913803661
"GREG","nb",2001,1,2002,11067,6649.27784,671.411391650084,46.9966412117479,16.6950482676441,4040.373595282
"GREG","nb",2001,2,2003,9025,7006.13747,1136.15968169981,9.5957561743689,9.59524085690544,1447.4338646947
"GREG","nb",2001,3,2004,9040,7949.27667,916.97499732281,8.54551066608083,8.54529944712418,704.3141143397
"GREG","nb",2001,4,2005,4256,8257.62666,1422.97678565273,14.4935249113275,14.4421879874688,3206.4937415632
"GREG","nb",2001,5,2006,10126,9212.8339,1336.47036066687,8.46178420914404,8.4616502654776,592.7286279958
"WHIB","nb",2001,1,2002,32530,9064.78997,3689.27917908987,16.056197613768,15.9554665787284,21491.1282379175
"WHIB","nb",2001,2,2003,12533,3288.45241,2278.83074079025,12.8241759150545,12.8162303766369,8168.6890702195
"WHIB","nb",2001,3,2004,30459,27908.55998,13170.5828783937,10.5183972835132,10.5182768458294,3595.8091182622
"WHIB","nb",2001,4,2005,17143,5978.2746,4504.31833087662,12.1588737317238,12.1567187783304,9317.8687503526
"WHIB","nb",2001,5,2006,25322,26126.8528,16003.1624055248,10.5077660676159,10.507659870454,3337.6362422098
"WOST","nb",2001,1,2002,1461,231.7748,72.8982214218349,Inf,14.4166667763911,1189.3970281808
"WOST","nb",2001,2,2003,1550,364.03549,144.95291595528,14.7021291105879,14.176516137685,1108.2247947603
"WOST","nb",2001,3,2004,834,237.22807,67.7824266211286,28.8129480627913,14.3607857889355,559.4950085721
"WOST","nb",2001,4,2005,273,601.81613,339.889061559158,6.66860024073688,6.66849520655003,166.3529282655
"WOST","nb",2001,5,2006,1314,298.74753,106.986407500266,77.937932302794,14.7776801219284,957.3562014747
"GREG","p",2002,1,2003,9025,11544.12244,94.4944075613843,Inf,14.7396235114349,2465.8065044808
"GREG","p",2002,2,2004,9040,9986.00351,52.5340239836685,Inf,14.1433734413914,916.3797269303
"GREG","p",2002,3,2005,4256,13981.12994,119.526588095072,Inf,14.9700520145758,9657.7157732944
"GREG","p",2002,4,2006,10126,13184.26512,88.797583421475,Inf,14.6798001224634,3008.1627629336
"GREG","p",2002,5,2007,5233,15094.06142,115.227350750623,Inf,14.9383033162613,9796.043106116
"WHIB","p",2002,1,2003,12533,13675.35265,141.335874661291,655.143192561058,15.1390133512846,1062.6092772355
"WHIB","p",2002,2,2004,30459,36042.45238,214.554899851731,Inf,15.557838679478,5462.429742059
"WHIB","p",2002,3,2005,17143,22386.88988,243.670929716299,Inf,15.6856755765102,5106.4152426448
"WHIB","p",2002,4,2006,25322,45537.56438,376.252850935769,Inf,16.1233892029332,20003.2835202784
"WHIB","p",2002,5,2007,20761,51753.55559,494.105787089202,Inf,16.3946652399979,30713.8641284705
"WOST","p",2002,1,2003,1550,1630.61537,39.7458977396029,6.67854973643824,6.67779338057821,58.7183261533
"WOST","p",2002,2,2004,834,1003.59076,27.3928050093462,173.856314818381,13.4980066734404,154.1355580414
"WOST","p",2002,3,2005,273,3337.76875,129.265076211778,Inf,15.052212101541,2991.8528723901
"WOST","p",2002,4,2006,1314,1681.11282,45.6874852132469,Inf,14.0096929553821,341.336195831
"WOST","p",2002,5,2007,355,3167.49237,88.324700023886,Inf,14.6736051897808,2762.6774987065
"GREG","nb",2002,1,2003,9025,9011.45991,1347.76599086208,8.14529402234257,8.14519749939546,316.4618420603
"GREG","nb",2002,2,2004,9040,9824.69505,1060.3377254047,8.05253442915974,8.05242230124218,443.8508219755
"GREG","nb",2002,3,2005,4256,11030.31556,1732.96164728554,25.5157662268188,17.6373352560184,5804.141367092
"GREG","nb",2002,4,2006,10126,12101.02038,1605.43050487267,8.92859434425627,8.92841655894589,1194.062751462
"GREG","nb",2002,5,2007,5233,13411.14735,1968.43707384897,54.0663743535712,17.7619836996587,7075.7485256121
"WHIB","nb",2002,1,2003,12533,6312.07935,4088.03430391897,10.899698186013,10.8990743423672,4795.4582536281
"WHIB","nb",2002,2,2004,30459,56216.26525,24965.0630286609,11.1585505990254,11.1584321986739,13660.1118579229
"WHIB","nb",2002,3,2005,17143,13073.77859,8980.30600173215,10.4824062707095,10.4822122555038,3609.7486969005
"WHIB","nb",2002,4,2006,25322,60283.78896,33872.4077820138,11.397783460346,11.3976647913277,18366.6406553806
"WHIB","nb",2002,5,2007,20761,64725.19872,41050.1800388793,11.7262920461792,11.7261505066089,23699.0371590062
"WOST","nb",2002,1,2003,1550,1887.40597,684.998960199294,7.29583347326785,7.29574580663459,181.3879911855
"WOST","nb",2002,2,2004,834,643.11823,216.806000055542,6.98559344487389,6.98539377723616,130.6773810845
"WOST","nb",2002,3,2005,273,5446.28307,2911.21587211253,15.9077495376775,15.7903310605711,3669.5601017339
"WOST","nb",2002,4,2006,1314,1171.30011,447.466655168922,7.23351867412235,7.23339213649454,140.1960399351
"WOST","nb",2002,5,2007,355,3272.34771,1484.89919118566,15.29623819378,15.1770823147317,2132.0412432971
"GREG","p",2003,1,2004,9040,9493.43793,43.1782312156439,Inf,13.9533451013002,429.0877497911
"GREG","p",2003,2,2005,4256,11868.34195,57.6746053631799,Inf,14.2386836211957,7579.8296609155
"GREG","p",2003,3,2006,10126,11994.235,61.7473917052682,Inf,14.3151550834166,1833.3971793054
"GREG","p",2003,4,2007,5233,13455.20493,75.8932116298343,Inf,14.5198510126263,8179.3980777465
"GREG","p",2003,5,2008,2308,15843.41321,97.0858114455647,Inf,14.7700755225432,13480.6398173409
"WHIB","p",2003,1,2004,30459,35410.59874,179.830589391297,Inf,15.3833103330939,4850.1352357138
"WHIB","p",2003,2,2005,17143,21247.22358,146.853461897826,Inf,15.17808192808,4021.3587274132
"WHIB","p",2003,3,2006,25322,44134.7835,284.673170980148,Inf,15.8481215336298,18652.0801630952
"WHIB","p",2003,4,2007,20761,49841.76828,361.132775076777,Inf,16.0810868232425,28877.109677385
"WHIB","p",2003,5,2008,7782,42414.81735,365.350833612425,Inf,16.1014541260669,34426.6316036675
"WOST","p",2003,1,2004,834,996.22,26.0027444979797,205.36008520785,13.4459442173303,147.5573600242
"WOST","p",2003,2,2005,273,3173.71149,76.094630269865,Inf,14.5267383466202,2857.8082849905
"WOST","p",2003,3,2006,1314,1650.7465,40.3859674641289,721.097089872714,13.8863777038204,313.9724784454
"WOST","p",2003,4,2007,355,3080.96954,67.4651260105595,Inf,14.4057377058589,2687.9268921572
"WOST","p",2003,5,2008,145,2088.14499,59.0535325031188,Inf,14.264326051809,1909.8481277441
"GREG","nb",2003,1,2004,9040,9828.07236,929.259479518952,8.02187744515544,8.02175387474647,448.1048112132
"GREG","nb",2003,2,2005,4256,11027.70206,1189.87688189228,196.804523443994,17.2693146216111,6103.129075774
"GREG","nb",2003,3,2006,10126,12089.07307,1296.64281430032,9.20142120493434,9.201132151794,1283.1508867213
"GREG","nb",2003,4,2007,5233,13409.59437,1551.97172812418,179.435726907339,17.5306650607376,7305.0595362397
"GREG","nb",2003,5,2008,2308,14966.00203,1940.14221495849,504.166937666039,17.7500352052234,11570.5079442057
"WHIB","nb",2003,1,2004,30459,61948.2061,25790.1580853302,11.5640077567474,11.5638389046058,18216.9769945788
"WHIB","nb",2003,2,2005,17143,17299.34166,8307.12146920457,9.89948141432698,9.89940549492416,1837.6598346506
