"site","year","sample_id","nest_id","lat","long"
"6thBridge","2020",1,22601,26.1226599232534,-80.541498317138
"6thBridge","2020",2,26570,26.1223559377408,-80.5410150594295
"6thBridge","2020",3,25209,26.1226630952434,-80.5412585112775
"6thBridge","2020",4,26466,26.1226705881787,-80.5410982690824
"6thBridge","2020",5,21542,26.1214253545753,-80.5416597354049
"6thBridge","2020",6,19895,26.1229924540547,-80.5418038248686
"6thBridge","2020",7,19848,26.1231044592498,-80.5418056577714
"6thBridge","2020",8,22044,26.1241329167846,-80.5415841985728
"6thBridge","2020",9,22572,26.1227693456033,-80.5414959329097
"6thBridge","2020",10,25576,26.1207883599405,-80.5412294642581
"6thBridge","2020",11,20154,26.1222602437856,-80.5419007667132
"6thBridge","2020",12,19936,26.1226847790124,-80.541805192555
"6thBridge","2020",13,20262,26.1217401530307,-80.5419253591466
"6thBridge","2020",14,19912,26.1228093519687,-80.5418434171241
"6thBridge","2020",15,20214,26.1219158860224,-80.5419083122176
"6thBridge","2020",16,19686,26.123354565503,-80.5418669564399
"6thBridge","2020",17,20305,26.1215818442789,-80.5418955026625
"6thBridge","2020",18,19760,26.1232653606623,-80.5418879125926
"6thBridge","2020",19,19590,26.1215598401129,-80.5420071842574
"6thBridge","2020",20,20277,26.121803708046,-80.5418786474789
"6thBridge","2020",21,19684,26.1233422695725,-80.5418883142322
"6thBridge","2020",22,20302,26.1216211170378,-80.5419565597293
"6thBridge","2020",23,19909,26.1228092478992,-80.5418866120694
"6thBridge","2020",24,19901,26.122826189678,-80.5418307989273
"6thBridge","2020",25,20261,26.1217164689077,-80.5418959487043
"6thBridge","2020",26,20558,26.121304011291,-80.5418256962026
"6thBridge","2020",27,21018,26.1232325113657,-80.5416613303215
"6thBridge","2020",28,20803,26.1240871824621,-80.5416470887034
"6thBridge","2020",29,19907,26.122805551978,-80.5418767396972
"6thBridge","2020",30,20965,26.1234113737553,-80.5417491036023
"6thBridge","2020",31,24518,26.1206827669757,-80.5413799756302
"6thBridge","2020",32,20153,26.1222536572515,-80.5418217769445
"6thBridge","2020",33,22847,26.1218307542358,-80.5414851465781
"6thBridge","2020",34,21987,26.1208690660763,-80.5417016548482
"6thBridge","2020",35,19660,26.1237371992141,-80.5418037018258
"6thBridge","2020",36,23976,26.1226960902879,-80.541373791679
"6thBridge","2020",37,23998,26.1224584809155,-80.5413293994837
"6thBridge","2020",38,25219,26.1226430818522,-80.541188498533
"6thBridge","2020",39,19843,26.1230594573585,-80.5418410500586
"6thBridge","2020",40,24403,26.1208318807262,-80.541405736797
"6thBridge","2020",41,19651,26.1213417032206,-80.5419936008746
"6thBridge","2020",42,19664,26.1234552186591,-80.5418175624121
"6thBridge","2020",43,19663,26.1235084739326,-80.5418409986564
"6thBridge","2020",44,19610,26.1214217419922,-80.5419972724511
"6thBridge","2020",45,19659,26.1238821826796,-80.541800154231
"6thBridge","2020",46,19650,26.1214014005423,-80.5419845933441
"6thBridge","2020",47,19648,26.1213532973437,-80.5419624549711
"6thBridge","2020",48,19652,26.1213735073128,-80.541997129455
"6thBridge","2020",49,19646,26.1213634310764,-80.5419740285359
"6thBridge","2020",50,19665,26.1234386157328,-80.5418091976805
"6thBridge","2020",51,20601,26.1213773187184,-80.5418971294154
"6thBridge","2020",52,26360,26.1228538082146,-80.5410458544862
"6thBridge","2020",53,33574,26.1202106026225,-80.5393867274031
"6thBridge","2020",54,24804,26.1236176940337,-80.5412761019381
"6thBridge","2020",55,31121,26.120445360411,-80.5402686240644
"6thBridge","2020",56,23530,26.1236241461,-80.5414461526588
"6thBridge","2020",57,76233,26.1190931445102,-80.5393793694363
"6thBridge","2020",58,30952,26.1220113773328,-80.5402142827866
"6thBridge","2020",59,31674,26.1206473263912,-80.5401120297856
"6thBridge","2021",60,9601,26.1222474151004,-80.5413059413168
"6thBridge","2021",61,9352,26.1239592601267,-80.5415835789487
"6thBridge","2021",62,9480,26.1226552398706,-80.541483049105
"6thBridge","2021",63,9526,26.1208911445947,-80.5414470301961
"6thBridge","2021",64,9474,26.1227637789415,-80.5414966814437
"6thBridge","2021",65,9400,26.1219685354914,-80.5415756189994
"6thBridge","2021",66,9415,26.1212838044421,-80.5416036328014
"6thBridge","2021",67,9292,26.1232467334316,-80.541783561551
"6thBridge","2021",68,9503,26.1216131788374,-80.5415226632521
"6thBridge","2021",69,9350,26.1241301139131,-80.5415873288071
"6thBridge","2021",70,9249,26.1229175621599,-80.5418994979416
"6thBridge","2021",71,9250,26.1229255782687,-80.5418353233191
"6thBridge","2021",72,9213,26.1194289421823,-80.542868529364
"6thBridge","2021",73,9244,26.1233005394115,-80.5418377601423
"6thBridge","2021",74,9247,26.1229907555564,-80.5419041507837
"6thBridge","2021",75,9243,26.1233815177348,-80.5418499400593
"6thBridge","2021",76,9236,26.1231448789606,-80.5419840775926
"6thBridge","2021",77,9246,26.1231909010724,-80.5418852778964
"6thBridge","2021",78,9245,26.1232675077018,-80.5418618811441
"6thBridge","2021",79,9227,26.1232283989612,-80.5422270220605
"6thBridge","2021",80,9261,26.1216615102612,-80.5419672999429
"6thBridge","2021",81,9311,26.1222505819958,-80.5417375394226
"6thBridge","2021",82,9296,26.1229948840347,-80.5418031515897
"6thBridge","2021",83,9310,26.122377052861,-80.5417930917822
"6thBridge","2021",84,9260,26.1217309473463,-80.5418882138539
"6thBridge","2021",85,9323,26.1218765117182,-80.5418150023774
"6thBridge","2021",86,9325,26.1219019427791,-80.5417939180504
"6thBridge","2021",87,9235,26.1230996593353,-80.5420635457458
