"site","year","sample_id","known_nest","nest_id","species","lat","long"
"AlleyNorth","2021",3,"no","","Great Egret",26.1969235496265,-80.5294801127347
"AlleyNorth","2021",4,"no","","Great Egret",26.1968430024902,-80.5295179130455
"AlleyNorth","2021",5,"yes","2905","White Ibis",26.1971577016228,-80.5287452405156
"AlleyNorth","2021",6,"yes","2876","Great Egret",26.1992301776582,-80.5288089596772
"AlleyNorth","2021",7,"no","","Great Egret",26.1967234962439,-80.5294480130765
"AlleyNorth","2021",8,"no","","White Ibis",26.1967288274807,-80.5295087148401
"AlleyNorth","2021",9,"no","","White Ibis",26.1967472741696,-80.5295129616521
"AlleyNorth","2021",10,"no","","Great Egret",26.1967516146873,-80.5295988661207
"AlleyNorth","2021",11,"no","","White Ibis",26.1970483784246,-80.5294462903101
"AlleyNorth","2021",12,"yes","2884","Great Egret",26.1991223594948,-80.5287920357475
"AlleyNorth","2021",13,"no","","White Ibis",26.1967346569231,-80.5295191464382
"AlleyNorth","2021",14,"no","","Snowy Egret",26.1984109984353,-80.5299992470982
"AlleyNorth","2021",15,"yes","2973","Great Egret",26.1968740800488,-80.5278517715493
"AlleyNorth","2021",16,"yes","2825","Great Egret",26.1971184700422,-80.5288858412559
"AlleyNorth","2021",17,"no","","Great Egret",26.1970429683968,-80.5294476260102
"AlleyNorth","2021",18,"no","","Great Egret",26.198546901618,-80.529778181529
"AlleyNorth","2021",19,"yes","2917","White Ibis",26.1967454516421,-80.5288369079264
"AlleyNorth","2021",20,"no","","White Ibis",26.196729410701,-80.5295168044938
"AlleyNorth","2021",21,"no","","Great Egret",26.1951658694016,-80.5297521722378
"AlleyNorth","2021",22,"no","","Great Egret",26.1971634095652,-80.5294686150639
"AlleyNorth","2021",23,"yes","2808","Roseate Spoonbill",26.1985612292959,-80.5289209467485
"AlleyNorth","2021",24,"yes","2941","Great Egret",26.1984952457605,-80.5286565120676
"AlleyNorth","2021",25,"yes","2793","Great Egret",26.1964916679373,-80.5291163871329
"AlleyNorth","2021",26,"yes","2924","White Ibis",26.2017338398021,-80.528517115332
"AlleyNorth","2021",27,"yes","2877","White Ibis",26.1991893081184,-80.5287869430376
"AlleyNorth","2021",28,"no","","Great Egret",26.1968314504261,-80.5297762804379
"AlleyNorth","2021",29,"no","","Great Egret",26.1961717259053,-80.5300660905592
"AlleyNorth","2021",30,"yes","2885","White Ibis",26.1991013721582,-80.5287456923275
"AlleyNorth","2021",31,"no","","Great Egret",26.1985667258203,-80.5297567362629
"AlleyNorth","2021",32,"yes","2898","White Ibis",26.1975059561866,-80.5288389434395
"AlleyNorth","2021",33,"yes","2937","Great Egret",26.1988954580271,-80.52851459056
"AlleyNorth","2021",34,"no","","White Ibis",26.196773812165,-80.5295153380586
"AlleyNorth","2021",35,"yes","2880","Great Egret",26.1990750786323,-80.5287423194838
"AlleyNorth","2021",36,"yes","2787","Great Egret",26.1970991978207,-80.5290627039541
"AlleyNorth","2021",37,"no","","Great Egret",26.1978414041599,-80.5295492156696
"AlleyNorth","2021",38,"yes","2817","White Ibis",26.1973398872875,-80.5289232385158
"AlleyNorth","2021",39,"yes","2843","White Ibis",26.1972506703668,-80.5288830359742
"AlleyNorth","2021",40,"yes","2862","Great Egret",26.1965153564626,-80.5289007339947
"AlleyNorth","2021",41,"yes","2918","Great Egret",26.1967386135456,-80.5288363625856
"AlleyNorth","2021",42,"no","","Great Egret",26.1998721658778,-80.529433925499
"AlleyNorth","2021",43,"yes","2863","Great Egret",26.196512856287,-80.528934975508
"AlleyNorth","2021",44,"no","","Great Egret",26.1970450884129,-80.5294584500137
"AlleyNorth","2021",45,"no","","Great Egret",26.1975721433491,-80.529666773003
"AlleyNorth","2021",46,"no","","Snowy Egret",26.1982120039809,-80.5298382586211
"AlleyNorth","2021",47,"no","","Great Blue Heron",26.1983975209084,-80.5295941286115
"AlleyNorth","2021",48,"yes","2894","Great Egret",26.1985188731266,-80.5288236477762
"AlleyNorth","2021",49,"no","","Great Egret",26.1981342358337,-80.529907467946
"AlleyNorth","2021",50,"yes","2902","White Ibis",26.1971451627147,-80.5287171696494
"CypressCity","2020",1,"yes","1603","Great Egret",26.123806764268,-80.5039271301878
"CypressCity","2020",2,"yes","1465","Great Egret",26.1243034493874,-80.5041715654312
"CypressCity","2020",3,"yes","1323","Wood Stork",26.12403648583,-80.5043926662667
"CypressCity","2020",4,"no","","Roseate Spoonbill",26.1239336303515,-80.5045812859839
"CypressCity","2020",5,"yes","1384","Wood Stork",26.1240812753527,-80.5043446005967
"CypressCity","2020",6,"yes","1319","Great Egret",26.1240457030533,-80.504396120809
"CypressCity","2020",7,"no","","Great Egret",26.1225097222087,-80.5045596137803
"CypressCity","2020",8,"no","","Great Egret",26.1242045999814,-80.5046498416655
"CypressCity","2020",9,"no","","Great Egret",26.1240358083384,-80.5045995932609
"CypressCity","2020",10,"no","","Great Egret",26.1240676516339,-80.5046527701729
"CypressCity","2020",11,"no","","Wood Stork",26.1241538258497,-80.5045662116609
"CypressCity","2020",12,"yes","1509","Great Egret",26.1238008171577,-80.5041486153894
"CypressCity","2020",13,"yes","1568","Roseate Spoonbill",26.1229500430252,-80.5041905001691
"CypressCity","2020",14,"no","","Great Egret",26.1237702426321,-80.5046624218082
"CypressCity","2020",15,"yes","1399","Great Egret",26.1239473781222,-80.5042483872955
"CypressCity","2020",16,"yes","1385","Wood Stork",26.1240922486636,-80.504347767014
"CypressCity","2020",17,"no","","Wood Stork",26.1241467032879,-80.5045754309186
"CypressCity","2020",18,"no","","Wood Stork",26.1242105289142,-80.5045867770505
"CypressCity","2020",19,"yes","1591","Great Egret",26.1240193775789,-80.5039576666974
"CypressCity","2020",20,"yes","1350","Great Egret",26.1232447801392,-80.5044196506438
"CypressCity","2020",21,"yes","1535","Great Egret",26.1232794322853,-80.5040869931541
"CypressCity","2020",22,"yes","1441","Great Egret",26.1229661257495,-80.504285394429
"CypressCity","2020",23,"yes","1387","Wood Stork",26.1240864620917,-80.5043515180196
"CypressCity","2020",24,"no","","Great Egret",26.123778173646,-80.5046668536861
"CypressCity","2020",25,"yes","1486","Roseate Spoonbill",26.1241858148051,-80.5041379286581
"CypressCity","2020",26,"no","","Great Egret",26.1241518559087,-80.5046358125592
"CypressCity","2020",27,"no","","Great Egret",26.123801712639,-80.5045591714176
"CypressCity","2020",28,"no","","Great Egret",26.123826451088,-80.504634814488
"CypressCity","2020",29,"yes","1538","Great Egret",26.123328063063,-80.5042205633028
"CypressCity","2020",30,"no","","Wood Stork",26.1242015436306,-80.5045828897182
"CypressCity","2020",31,"yes","1481","Great Egret",26.1241738513018,-80.5041523470727
"CypressCity","2020",32,"yes","1374","Wood Stork",26.1241212725595,-80.5043583296559
"CypressCity","2020",33,"no","","Great Egret",26.1238339175813,-80.5047059819289
"CypressCity","2020",34,"yes","1383","Wood Stork",26.1240951904635,-80.5043197394208
"CypressCity","2020",35,"yes","1514","Great Egret",26.1237460187082,-80.5041913232139
"CypressCity","2020",36,"yes","1478","Great Egret",26.1241913712287,-80.5041690281013
"CypressCity","2020",37,"yes","1340","Great Egret",26.1235893108705,-80.5043901624672
"CypressCity","2020",38,"no","","Wood Stork",26.1241700521388,-80.5045694045338
"CypressCity","2020",39,"yes","1386","Wood Stork",26.1240842173936,-80.5043358653777
"CypressCity","2020",40,"no","","Wood Stork",26.1242053305538,-80.5045842831972
"CypressCity","2020",41,"no","","Snowy Egret",26.1240818404616,-80.5045644929597
"CypressCity","2020",42,"yes","1499","Great Egret",26.1240026735751,-80.5041500619676
"CypressCity","2020",43,"no","","Great Egret",26.124065783116,-80.5045763761874
"CypressCity","2020",44,"no","","Wood Stork",26.1241679343435,-80.5045625134355
"CypressCity","2020",45,"yes","1297","Wood Stork",26.1243045273686,-80.504459188615
"CypressCity","2020",46,"no","","Great Egret",26.1239237782241,-80.5045592972654
"CypressCity","2020",47,"no","","Great Egret",26.1233790122155,-80.5045529550695
"CypressCity","2020",48,"no","","Great Egret",26.1228602444509,-80.5049842935779
"CypressCity","2020",49,"no","","Great Egret",26.1240016404745,-80.5049873096731
"CypressCity","2020",50,"no","","Wood Stork",26.1242064912573,-80.5045729206403
"CypressCity","2021",1,"no","","Great Blue Heron",26.1240984921214,-80.5044495189805
"CypressCity","2021",2,"no","","White Ibis",26.123906850619,-80.5045774399884
"CypressCity","2021",3,"yes","35122","Great Egret",26.1239090251657,-80.5042942117087
"CypressCity","2021",4,"yes","7519","Great Egret",26.1232524005173,-80.5038686016164
"CypressCity","2021",5,"no","","Great Egret",26.1239279009396,-80.5043845818777
"CypressCity","2021",6,"yes","119537","Roseate Spoonbill",26.1238453896628,-80.5042436184666
"CypressCity","2021",7,"no","","Great Egret",26.1239307686714,-80.5042480847944
"CypressCity","2021",8,"yes","35172","Great Blue Heron",26.1243289337617,-80.5040614315532
"CypressCity","2021",9,"yes","7377","Great Egret",26.123861422631,-80.504247463445
"CypressCity","2021",10,"yes","49672","Great Egret",26.1239482736837,-80.504269398121
"CypressCity","2021",11,"yes","49692","Great Egret",26.1244297018143,-80.5041624803047
"CypressCity","2021",12,"no","","Great Egret",26.1242529762009,-80.5044795325384
"CypressCity","2021",13,"no","","Great Egret",26.1242989112918,-80.5042593930031
"CypressCity","2021",14,"no","","Roseate Spoonbill",26.1240605150098,-80.5050560569878
"CypressCity","2021",15,"no","","Great Egret",26.1242629032654,-80.5043318675453
"CypressCity","2021",16,"no","","Roseate Spoonbill",26.1240599056225,-80.5051255294815
"CypressCity","2021",17,"yes","7420","Great Egret",26.123987587344,-80.5041843466499
"CypressCity","2021",18,"no","","Great Blue Heron",26.1242729879758,-80.5043168992737
"CypressCity","2021",19,"yes","61334","Great Egret",26.1239010274185,-80.5041141063401
"CypressCity","2021",20,"yes","35114","Great Egret",26.1240093210629,-80.5042334415486
"CypressCity","2021",21,"yes","35117","Roseate Spoonbill",26.123889960609,-80.504265926822
"CypressCity","2021",22,"yes","7415","Great Egret",26.1243881260341,-80.5041044527118
"CypressCity","2021",23,"no","","Great Blue Heron",26.1241829693467,-80.504357342304
"CypressCity","2021",24,"no","","Wood Stork",26.1241355232751,-80.5043242176242
"CypressCity","2021",25,"yes","61399","Wood Stork",26.1236656542171,-80.5039511962505
"CypressCity","2021",26,"yes","49804","Great Egret",26.1232561076766,-80.5037857721485
"CypressCity","2021",27,"no","","Great Egret",26.1237388764764,-80.5044643748545
"CypressCity","2021",28,"no","","Great Blue Heron",26.1240841809164,-80.5044603527429
"CypressCity","2021",29,"yes","49759","Roseate Spoonbill",26.1237879181824,-80.503831672653
"CypressCity","2021",30,"no","","Wood Stork",26.1240037625702,-80.5049801998345
"CypressCity","2021",31,"no","","Great Egret",26.1242494585752,-80.5044770494169
"CypressCity","2021",32,"yes","35262","Great Egret",26.1233482508369,-80.5036807997784
"Jerrod","2020",1,"yes","1828","Great Egret",26.003605658335,-80.5969287466987
"Jerrod","2020",2,"yes","1899","Great Egret",26.0027688861177,-80.5968237314915
"Jerrod","2020",3,"yes","1836","Great Egret",26.0031521155335,-80.5969201832617
"Jerrod","2020",4,"yes","1855","Great Egret",26.0037186467032,-80.5967727991346
"Jerrod","2020",5,"no","","Great Egret",26.0039515668867,-80.5968002986537
"Jerrod","2020",6,"no","","Great Blue Heron",26.0037027283164,-80.5969024657243
"Jerrod","2020",7,"yes","1891","Great Egret",26.0030127382682,-80.5967754412402
"Jerrod","2020",8,"no","","Great Egret",26.0035885070184,-80.5968939244832
"Jerrod","2020",9,"no","","Roseate Spoonbill",26.0039574344537,-80.59760291766
"Jerrod","2020",10,"no","","Great Egret",26.0034979085993,-80.5968792380637
"Jerrod","2020",11,"yes","1913","Great Egret",26.0039155025513,-80.5966220287398
"Jerrod","2020",12,"yes","1897","Great Egret",26.0027188132271,-80.5968282371105
"Jerrod","2020",13,"no","","Great Egret",26.0040113413005,-80.5968521709525
"Jerrod","2020",14,"yes","1892","Great Egret",26.0031019529222,-80.5967497108217
"Jerrod","2020",15,"yes","1825","Great Egret",26.0038411054047,-80.5969500587276
"Jerrod","2020",16,"yes","1829","Great Egret",26.0035947265924,-80.5969246681865
"Jerrod","2020",17,"no","","Great Egret",26.0035949519421,-80.5968692305494
"Jerrod","2020",18,"no","","Great Egret",26.0045828557303,-80.5972708416588
"Jerrod","2020",19,"no","","Great Blue Heron",26.0043560527373,-80.5968661754598
"Jerrod","2020",20,"yes","1853","Great Egret",26.0039501704024,-80.5968006264855
"Jerrod","2020",21,"yes","1874","Great Egret",26.0033473311169,-80.5968727156202
"Jerrod","2020",22,"yes","1842","Great Egret",26.004454960485,-80.5967399652584
"Jerrod","2020",23,"no","","Great Egret",26.0034955066348,-80.5968509351308
"Jerrod","2020",24,"no","","Roseate Spoonbill",26.0045521505219,-80.5977197877539
"Jerrod","2020",25,"no","","Great Blue Heron",26.0046712652769,-80.5968452965703
"Jerrod","2020",26,"no","","Great Blue Heron",26.0040009170487,-80.5969153633553
"Jerrod","2020",27,"yes","1896","Great Egret",26.0027466465172,-80.5968282380668
"Jerrod","2020",28,"no","","Roseate Spoonbill",26.0048363310294,-80.5969745374906
"Jerrod","2020",29,"no","","Roseate Spoonbill",26.0036860266959,-80.5972008428151
"Jerrod","2020",30,"no","","Great Egret",26.0044962846408,-80.5969268692483
"Jerrod","2020",31,"yes","1822","Great Egret",26.0042528801092,-80.5969780214941
"Jerrod","2020",32,"yes","1823","Great Blue Heron",26.0040006078686,-80.5969151156868
"Jerrod","2020",33,"yes","1859","Great Blue Heron",26.0037458631449,-80.5967744442728
"Jerrod","2020",34,"yes","1826","Great Blue Heron",26.0038323063605,-80.5969230441965
"Jerrod","2020",35,"yes","1921","Roseate Spoonbill",26.0037406942109,-80.5966291157149
"Jerrod","2020",36,"no","","Roseate Spoonbill",26.0043862851185,-80.5968386526549
"Jerrod","2020",37,"no","","Great Egret",26.003718037394,-80.5969105602259
"Jerrod","2020",38,"no","","Great Egret",26.0036139486199,-80.5969097436671
"Jerrod","2020",39,"yes","1877","Great Egret",26.0033631451605,-80.596783721791
"Jerrod","2020",40,"no","","Great Egret",26.0036054094744,-80.5969280354304
"Jerrod","2020",41,"no","","Great Blue Heron",26.0037502264025,-80.5970586588161
"Jerrod","2020",42,"no","","Great Egret",26.0035966434457,-80.5970157458231
"Jerrod","2020",43,"yes","1876","Great Egret",26.0032703628892,-80.5968565280538
"Jerrod","2020",44,"no","","Great Egret",26.0035985847397,-80.5969156236152
"Jerrod","2020",45,"yes","1819","Great Egret",26.0040686904464,-80.5971046039413
"Jerrod","2020",46,"yes","1888","Great Egret",26.0031085198371,-80.5967530258238
"Jerrod","2020",47,"no","","Great Blue Heron",26.0045250018301,-80.5971763805306
"Jerrod","2020",48,"yes","1824","Great Egret",26.0037997378826,-80.5970354515644
"Jerrod","2020",49,"no","","Great Egret",26.0038065592703,-80.5968482885906
"Jerrod","2020",50,"yes","1813","Great Egret",26.0043407021155,-80.5972300759293
"Jerrod","2021",1,"no","","Great Egret",26.0045020241385,-80.5969378027196
"Jerrod","2021",2,"yes","11604","Great Egret",26.003176437442,-80.5968597555548
"Jerrod","2021",3,"yes","11568","Great Blue Heron",26.0040596621938,-80.596903759236
"Jerrod","2021",4,"no","","Great Egret",26.0044959062476,-80.5969528379739
"Jerrod","2021",5,"no","","Roseate Spoonbill",26.0036000235016,-80.596924331298
"Jerrod","2021",6,"yes","11600","Great Egret",26.0032869921896,-80.596868837092
"Jerrod","2021",7,"yes","11627","Great Egret",26.0044499764524,-80.5966779120862
"Jerrod","2021",8,"no","","Roseate Spoonbill",26.0043492156121,-80.5975523154541
"Jerrod","2021",9,"yes","11631","Great Egret",26.0043731199268,-80.5966873903251
"Jerrod","2021",10,"yes","11699","Great Egret",26.0033318256333,-80.5966082210779
"Jerrod","2021",11,"yes","11615","Great Egret",26.0027283366381,-80.5968259785391
"Jerrod","2021",12,"no","","Great Blue Heron",26.00474730755,-80.5969316562384
"Jerrod","2021",13,"no","","Great Blue Heron",26.0048292551203,-80.5968915678795
"Jerrod","2021",14,"yes","11668","Great Egret",26.002725332093,-80.5966918763679
"Jerrod","2021",15,"yes","11572","Great Egret",26.0029810356433,-80.5969784722232
"Jerrod","2021",16,"no","","Great Egret",26.0043667080349,-80.5968790236244
"Jerrod","2021",17,"no","","Great Egret",26.0033441474172,-80.5968828625124
"Jerrod","2021",18,"no","","Great Egret",26.0033091261867,-80.5968699173589
"Jerrod","2021",19,"yes","11573","Great Egret",26.0027782031428,-80.5969593159088
"Jerrod","2021",20,"no","","Great Blue Heron",26.0040594565716,-80.5969014756957
"Jerrod","2021",21,"no","","Great Blue Heron",26.0045790458256,-80.5969368014862
"Jerrod","2021",22,"no","","Great Egret",26.0032872295794,-80.5968684795058
"Jerrod","2021",23,"no","","Great Egret",26.0043708886264,-80.5968850536828
"Jerrod","2021",24,"no","","Great Egret",26.0044655695236,-80.5976038065588
"Jerrod","2021",25,"yes","11657","Great Egret",26.0033286736222,-80.596740411365
"Jerrod","2021",26,"yes","11652","Great Egret",26.0034136968379,-80.5966978644073
"Jerrod","2021",27,"no","","Great Blue Heron",26.0040887020925,-80.5968616701733
"Jerrod","2021",28,"yes","11664","Great Blue Heron",26.0029691449053,-80.5967520110865
"Jerrod","2021",29,"yes","11611","Great Egret",26.0028243297804,-80.5968354275758
"Jerrod","2021",30,"yes","11674","Great Egret",26.0026074317876,-80.5967607173531
"Jerrod","2021",31,"yes","11597","Great Egret",26.0034098954169,-80.5967880671041
"Jerrod","2021",32,"yes","11605","Great Blue Heron",26.0031204024963,-80.5968959319951
"Jerrod","2021",33,"no","","Roseate Spoonbill",26.0049337559109,-80.5969728055633
"Jerrod","2021",34,"yes","11589","Great Blue Heron",26.0040595939459,-80.5969017225875
"Jerrod","2021",35,"no","","Roseate Spoonbill",26.0051798425685,-80.5968023970605
"Jerrod","2021",36,"yes","11608","Great Egret",26.0029367256266,-80.5968144856589
"Jerrod","2021",37,"no","","Great Egret",26.0051855037464,-80.5967887802932
"Jerrod","2021",38,"no","","Great Egret",26.0031904555734,-80.5969091390498
"Jerrod","2021",39,"no","","Great Egret",26.0025673776093,-80.5968779168304
"Jerrod","2021",40,"yes","11630","Great Egret",26.0044106415266,-80.5966651299193
"Jerrod","2021",41,"no","","Snowy Egret",26.0044221085098,-80.5976979176777
"Jerrod","2021",42,"no","","Roseate Spoonbill",26.0037917280663,-80.59703668233
"Jerrod","2021",43,"yes","11711","Great Egret",26.0031188855379,-80.59659375215
"Jerrod","2021",44,"no","","Great Blue Heron",26.0035779624501,-80.5970024291144
"Jerrod","2021",45,"yes","11707","Great Egret",26.0032278482406,-80.5966199406154
"Jerrod","2021",46,"no","","Great Egret",26.0025794494602,-80.5968675394026
"Jerrod","2021",47,"no","","Great Egret",26.0025101168785,-80.5968737506071
"Jerrod","2021",48,"yes","11686","Great Egret",26.0037630200228,-80.5965812518465
"Jerrod","2021",49,"yes","11564","Great Blue Heron",26.0045793702759,-80.5969368749425
"Jerrod","2021",50,"yes","11727","Great Egret",26.0025928277536,-80.5964997393656
"Jerrod","2021.shp",1,"yes","91337","Tree",0.197343240121894,-85.4021162982844
"Jerrod","2021.shp",2,"yes","87762","Tree",0.215470480335058,-85.3531526173407
"Jerrod","2021.shp",3,"yes","18879","Tree",0.261382259557152,-85.3511031042078
"JetportSouth","2020",1,"yes","8535","Great Egret",25.8048779234264,-80.8492131660635
