"site","year","sample_id","known_nest","nest_id","species","lat","long"
"6thBridge","2020",1,"yes","19542","White Ibis",26.1223937349828,-80.541961834325
"6thBridge","2020",2,"yes","19566","White Ibis",26.1218042975508,-80.5420018082587
"6thBridge","2020",3,"yes","19664","White Ibis",26.1234552186591,-80.5418175624121
"6thBridge","2020",4,"yes","19666","White Ibis",26.1234356495102,-80.5418227690249
"6thBridge","2020",5,"yes","19489","Great Egret",26.1194250969894,-80.5428589081742
"6thBridge","2020",6,"yes","19643","White Ibis",26.1213354860038,-80.5419820066419
"6thBridge","2020",7,"no","","Great Blue Heron",26.1216709995974,-80.5428337185453
"6thBridge","2020",8,"no","","Great Egret",26.1211903044136,-80.541965011602
"6thBridge","2020",9,"no","","Great Egret",26.1229610188447,-80.5420052940255
"6thBridge","2020",10,"yes","19665","White Ibis",26.123439405062,-80.5418093578169
"6thBridge","2020",11,"yes","19659","White Ibis",26.123883093827,-80.5418001941411
"6thBridge","2020",12,"no","","Great Egret",26.1215684533455,-80.5419908764755
"6thBridge","2020",13,"no","","Great Egret",26.1231203437533,-80.54198106608
"6thBridge","2020",14,"yes","19569","Great Egret",26.1218100871814,-80.5419997444336
"6thBridge","2020",15,"no","","Great Egret",26.1216365237549,-80.5420379090359
"6thBridge","2020",16,"no","","Great Egret",26.1216636846286,-80.5419864833945
"6thBridge","2020",17,"yes","19650","White Ibis",26.1214012172277,-80.5419858745019
"6thBridge","2020",18,"no","","Great Egret",26.1212612298308,-80.5419673100669
"6thBridge","2020",19,"no","","Snowy Egret",26.1227802907621,-80.542191996001
"6thBridge","2020",20,"no","","Great Egret",26.1212229463292,-80.5420487974263
"6thBridge","2020",21,"no","","Snowy Egret",26.1230961560482,-80.5419805599198
"6thBridge","2020",22,"yes","19652","White Ibis",26.1213744473674,-80.5419984069275
"6thBridge","2020",23,"no","","Roseate Spoonbill",26.1236025782439,-80.5420271279423
"6thBridge","2020",24,"no","","Great Egret",26.1217173189196,-80.5419413903487
"6thBridge","2020",25,"no","","Great Egret",26.1215195183183,-80.542013008164
"6thBridge","2020",26,"no","","Great Egret",26.1218304597137,-80.5419525522662
"6thBridge","2020",27,"yes","19648","White Ibis",26.1213532973437,-80.5419624549711
"6thBridge","2020",28,"no","","Great Egret",26.1226949942324,-80.5419379292179
"6thBridge","2020",29,"no","","Great Egret",26.1213797423146,-80.5419626299041
"6thBridge","2020",30,"yes","19651","White Ibis",26.1213412854872,-80.5419936224411
"6thBridge","2020",31,"no","","Great Egret",26.1227847817926,-80.5419385039859
"6thBridge","2020",32,"no","","Great Blue Heron",26.1194869001593,-80.5425030582821
"6thBridge","2020",33,"yes","19545","White Ibis",26.1223883191506,-80.541958625405
"6thBridge","2020",34,"yes","19663","White Ibis",26.1235084739327,-80.5418409986564
"6thBridge","2020",35,"yes","19646","White Ibis",26.1213623252659,-80.5419734770985
"6thBridge","2020",36,"no","","Great Egret",26.1228354996764,-80.5420175268828
"6thBridge","2020",37,"no","","Great Egret",26.1216579752127,-80.5420271348811
"6thBridge","2020",38,"yes","19660","Snowy Egret",26.1237371992141,-80.5418037018258
"6thBridge","2020",39,"no","","Great Egret",26.1216451772473,-80.542038805223
"6thBridge","2020",40,"yes","19590","Great Egret",26.1215598401129,-80.5420071842574
"6thBridge","2020",41,"no","","Great Egret",26.1192082595421,-80.5425196277578
"6thBridge","2020",42,"no","","Great Egret",26.1217462693648,-80.5419565555604
"6thBridge","2020",43,"yes","19614","White Ibis",26.1214210330438,-80.5419859161262
"6thBridge","2020",44,"yes","19667","White Ibis",26.1234407402487,-80.5418290326998
"6thBridge","2020",45,"yes","19571","Great Egret",26.1218357925461,-80.5420169390863
"6thBridge","2020",46,"yes","19661","White Ibis",26.1236366979629,-80.5417919819173
"6thBridge","2020",47,"no","","Great Egret",26.1229092197767,-80.5420862298009
"6thBridge","2020",48,"yes","19578","Roseate Spoonbill",26.1217008366677,-80.5419620122712
"6thBridge","2020",49,"yes","19668","White Ibis",26.1234706844321,-80.5418452025423
"6thBridge","2020",50,"yes","19610","White Ibis",26.1214217419922,-80.5419972724511
"6thBridge","2021",1,"no","","Great Egret",26.1195967009897,-80.5427900868563
"6thBridge","2021",2,"yes","9258","Great Egret",26.1217535236122,-80.5419380083107
"6thBridge","2021",3,"yes","9247","Great Egret",26.1229907555564,-80.5419041507837
"6thBridge","2021",4,"no","","Great Egret",26.1204702274565,-80.5422483485928
"6thBridge","2021",5,"no","","Snowy Egret",26.1209446814048,-80.5424871406004
"6thBridge","2021",6,"no","","Great Egret",26.1230910494942,-80.5420736423003
"6thBridge","2021",7,"yes","9227","Great Egret",26.1232283989612,-80.5422270220605
"6thBridge","2021",8,"no","","Roseate Spoonbill",26.1212048392936,-80.5430678141825
"6thBridge","2021",9,"yes","9257","Great Egret",26.1218566256027,-80.5419253419638
"6thBridge","2021",10,"no","","Snowy Egret",26.1209679783864,-80.5425530117094
"6thBridge","2021",11,"no","","Great Egret",26.1214705138643,-80.5430235333002
"6thBridge","2021",12,"no","","Snowy Egret",26.1208894303448,-80.5425090036066
"6thBridge","2021",13,"no","","Great Egret",26.1218119564115,-80.5427502370397
"6thBridge","2021",14,"yes","9260","Roseate Spoonbill",26.1217309473463,-80.5418882138539
"6thBridge","2021",15,"yes","9251","Great Egret",26.1223749039609,-80.541845609848
"6thBridge","2021",16,"no","","Roseate Spoonbill",26.1222200677027,-80.542093534152
"6thBridge","2021",17,"yes","9235","Roseate Spoonbill",26.1230996593353,-80.5420635457458
"6thBridge","2021",18,"yes","9274","Great Egret",26.1241385022196,-80.5418128014305
"6thBridge","2021",19,"no","","Roseate Spoonbill",26.1218308456682,-80.5424385583623
"6thBridge","2021",20,"yes","9246","Great Egret",26.123190813724,-80.5418851337686
"6thBridge","2021",21,"no","","Great Blue Heron",26.1195126325074,-80.5431980516634
"6thBridge","2021",22,"yes","9269","Great Egret",26.1215637326376,-80.5418663590429
"6thBridge","2021",23,"yes","9213","Great Egret",26.119429048565,-80.5428693749509
"6thBridge","2021",24,"no","","White Ibis",26.1243567245689,-80.5421293520259
"6thBridge","2021",25,"yes","9236","Great Egret",26.1231448789606,-80.5419840775926
"6thBridge","2021",26,"yes","9245","Great Egret",26.1232675077018,-80.5418618811441
"6thBridge","2021",27,"no","","Great Egret",26.1202597963192,-80.5432276013687
"6thBridge","2021",28,"no","","Great Egret",26.1188975503797,-80.5423092048771
"6thBridge","2021",29,"yes","9256","Great Egret",26.1217906268531,-80.5419436799242
"6thBridge","2021",30,"yes","9244","Great Egret",26.1233005394115,-80.5418377601423
"6thBridge","2021",31,"yes","9249","Great Egret",26.1229175621599,-80.5418994979416
"6thBridge","2021",32,"yes","9261","Roseate Spoonbill",26.1216615102612,-80.5419672999429
"6thBridge","2021",33,"yes","9268","Roseate Spoonbill",26.1215750445836,-80.5418574475143
"6thBridge","2021",34,"no","","Great Egret",26.1215999277545,-80.5430103724068
"6thBridge","2021",35,"no","","White Ibis",26.120138993377,-80.5432807292424
"6thBridge","2021",36,"yes","9262","Great Egret",26.1216501621137,-80.5419551973412
"6thBridge","2021",37,"no","","White Ibis",26.1233738053929,-80.5423958023768
"6thBridge","2021",38,"no","","Great Egret",26.1231116014476,-80.5421003608985
"6thBridge","2021",39,"no","","Roseate Spoonbill",26.1230989953357,-80.5420633185675
"6thBridge","2021",40,"no","","Great Egret",26.1231370996306,-80.5420513925835
"6thBridge","2021",41,"yes","9279","Great Egret",26.1237403240527,-80.5417897198827
"6thBridge","2021",42,"yes","9250","Great Egret",26.1229259641739,-80.5418355379068
"6thBridge","2021",43,"no","","Roseate Spoonbill",26.1203544886432,-80.5422019106479
"6thBridge","2021",44,"yes","9266","Great Egret",26.1215206262652,-80.5418816594033
"6thBridge","2021",45,"yes","9281","Great Egret",26.1234597942201,-80.541778956622
"6thBridge","2021",46,"no","","Great Egret",26.1232272192948,-80.54222675709
"6thBridge","2021",47,"yes","9280","Great Egret",26.1238115967984,-80.5416959820501
"6thBridge","2021",48,"yes","9243","Great Egret",26.1233815177348,-80.5418499400593
"6thBridge","2021",49,"no","","Great Egret",26.1194152166315,-80.5430872809277
"6thBridge","2021",50,"no","","Wood Stork",26.1202605642336,-80.5432457542469
"AlleyNorth","2021",1,"yes","2974","Great Egret",26.1966882709839,-80.5278474140822
"AlleyNorth","2021",2,"yes","2860","Great Egret",26.1966481076532,-80.5289541591393
